Fylke;Fylkesnavn;Kommune;KommuneID;Parti;Forhåndsstemmer;StemmerTotalt;Prosentandel;EndringStemmer07;EndringFordeling07;EndringStemmer05;EndringFordeling05
01;Østfold;Halden;0101;A;1025;6609;41,5;1672;0,5;353;2,1
01;Østfold;Halden;0101;SV;179;830;5,2;40;-1,4;-513;-3,3
01;Østfold;Halden;0101;RV;34;169;1,1;-46;-0,7;30;0,2
01;Østfold;Halden;0101;SP;88;727;4,6;71;-0,9;40;0,2
01;Østfold;Halden;0101;KRF;167;978;6,1;46;-1,6;-189;-1,2
01;Østfold;Halden;0101;V;74;416;2,6;68;-0,3;-220;-1,4
01;Østfold;Halden;0101;H;300;1963;12,3;452;-0,2;284;1,7
01;Østfold;Halden;0101;FRP;668;3877;24,4;1811;7,2;217;1,3
01;Østfold;Halden;0101;DEM;2;13;0,1;-20;-0,2;5;0
01;Østfold;Halden;0101;KSP;6;33;0,2;-56;-0,5;1;0
01;Østfold;Halden;0101;KYST;4;15;0,1;5;0;-16;-0,1
01;Østfold;Halden;0101;MDG;19;85;0,5;-165;-1,5;56;0,4
01;Østfold;Halden;0101;PP;40;166;1;-25;-0,5;61;0,4
01;Østfold;Halden;0101;ABORT;5;26;0,2;26;0,2;-8;-0,1
01;Østfold;Moss;0104;A;1280;6383;38,7;1738;1,9;628;2,6
01;Østfold;Moss;0104;SV;222;1059;6,4;201;-0,4;-459;-3,1
01;Østfold;Moss;0104;RV;44;216;1,3;-149;-1,6;38;0,2
01;Østfold;Moss;0104;SP;33;153;0,9;34;0;-28;-0,2
01;Østfold;Moss;0104;KRF;93;448;2,7;55;-0,4;-147;-1
01;Østfold;Moss;0104;V;134;523;3,2;-36;-1,3;-225;-1,5
01;Østfold;Moss;0104;H;562;3219;19,5;476;-2,2;692;3,7
01;Østfold;Moss;0104;FRP;1017;4241;25,7;1732;5,8;146;0
01;Østfold;Moss;0104;DEM;2;7;0;-16;-0,1;-3;0
01;Østfold;Moss;0104;KSP;5;22;0,1;-1;0;10;0,1
01;Østfold;Moss;0104;KYST;3;6;0;-9;-0,1;-23;-0,1
01;Østfold;Moss;0104;MDG;10;53;0,3;-23;-0,3;28;0,2
01;Østfold;Moss;0104;PP;55;134;0,8;-139;-1,4;-67;-0,4
01;Østfold;Moss;0104;ABORT;0;10;0,1;10;0,1;-15;-0,1
01;Østfold;Sarpsborg;0105;A;1635;12453;44,4;3602;0,6;289;1,9
01;Østfold;Sarpsborg;0105;SV;155;944;3,4;107;-0,8;-805;-2,8
01;Østfold;Sarpsborg;0105;RV;20;120;0,4;-33;-0,3;2;0
01;Østfold;Sarpsborg;0105;SP;79;908;3,2;80;-0,9;-63;-0,2
01;Østfold;Sarpsborg;0105;KRF;246;1607;5,7;152;-1,5;-356;-1,1
01;Østfold;Sarpsborg;0105;V;104;516;1,8;51;-0,5;-305;-1
01;Østfold;Sarpsborg;0105;H;449;3389;12,1;738;-1;590;2,3
01;Østfold;Sarpsborg;0105;FRP;1183;7598;27,1;3439;6,5;148;1
01;Østfold;Sarpsborg;0105;DEM;6;20;0,1;-13;-0,1;-1;0
01;Østfold;Sarpsborg;0105;KSP;6;60;0,2;10;0;16;0,1
01;Østfold;Sarpsborg;0105;KYST;2;18;0,1;-12;-0,1;-61;-0,2
01;Østfold;Sarpsborg;0105;MDG;9;50;0,2;-16;-0,1;19;0,1
01;Østfold;Sarpsborg;0105;PP;62;332;1,2;-292;-1,9;16;0,1
01;Østfold;Sarpsborg;0105;ABORT;6;28;0,1;28;0,1;-5;0
01;Østfold;Fredrikstad;0106;A;2993;17234;42,7;6551;8;2650;6,6
01;Østfold;Fredrikstad;0106;SV;427;1990;4,9;337;-0,4;-1405;-3,5
01;Østfold;Fredrikstad;0106;RV;72;305;0,8;-67;-0,5;16;0
01;Østfold;Fredrikstad;0106;SP;115;849;2,1;0;-0,6;-89;-0,2
01;Østfold;Fredrikstad;0106;KRF;393;2138;5,3;507;0;-289;-0,7
01;Østfold;Fredrikstad;0106;V;223;1015;2,5;41;-0,6;-587;-1,5
01;Østfold;Fredrikstad;0106;H;1029;6159;15,2;1247;-0,7;1254;3,1
01;Østfold;Fredrikstad;0106;FRP;1783;9971;24,7;1292;-3,4;-1392;-3,4
01;Østfold;Fredrikstad;0106;DEM;23;42;0,1;-33;-0,1;-13;0
01;Østfold;Fredrikstad;0106;KSP;7;50;0,1;-10;-0,1;-6;0
01;Østfold;Fredrikstad;0106;KYST;6;40;0,1;-22;-0,1;-96;-0,2
01;Østfold;Fredrikstad;0106;MDG;20;96;0,2;-111;-0,4;44;0,1
01;Østfold;Fredrikstad;0106;PP;95;421;1;-274;-1,2;-39;-0,1
01;Østfold;Fredrikstad;0106;ABORT;15;77;0,2;77;0,2;-11;0
01;Østfold;Hvaler;0111;A;173;915;37;306;5,9;112;2,9
01;Østfold;Hvaler;0111;SV;27;140;5,7;19;-0,5;-37;-1,9
01;Østfold;Hvaler;0111;RV;6;23;0,9;-4;-0,4;0;0
01;Østfold;Hvaler;0111;SP;13;57;2,3;-15;-1,4;-4;-0,3
01;Østfold;Hvaler;0111;KRF;16;84;3,4;10;-0,4;-24;-1,2
01;Østfold;Hvaler;0111;V;21;72;2,9;14;0;-47;-2,1
