Fylke;KommuneID;Kommune;Stemmeberettigede;GodkjenteStemmegivninger;GodkjenteStemmer;ForkastedeStemmer;BlankeStemmer
01;0101;Halden;21826;16021;15907;20;111
01;0104;Moss;22187;16586;16474;1;93
01;0105;Sarpsborg;38705;28223;28043;30;168
01;0106;Fredrikstad;54754;40640;40387;15;232
01;0111;Hvaler;3196;2484;2476;4;8
01;0118;Aremark;1093;850;845;1;4
01;0119;Marker;2710;2059;2047;3;8
01;0121;Rømskog;526;429;427;0;2
01;0122;Trøgstad;3832;2794;2775;0;19
01;0123;Spydeberg;3854;3024;3008;1;14
01;0124;Askim;10889;7846;7786;6;49
01;0125;Eidsberg;7942;5711;5673;9;32
01;0127;Skiptvet;2543;1846;1837;1;7
01;0128;Rakkestad;5682;4087;4069;2;17
01;0135;Råde;5183;4139;4117;5;15
01;0136;Rygge;10446;8061;8022;9;32
01;0137;Våler;3240;2523;2503;3;19
01;0138;Hobøl;3381;2601;2592;0;15
02;0211;Vestby;10020;8064;8007;2;55
02;0213;Ski;19654;16075;16003;6;65
02;0214;Ås;10900;8848;8798;3;44
02;0215;Frogn;10469;8738;8691;18;26
02;0216;Nesodden;12024;9909;9864;4;41
02;0217;Oppegård;17739;15053;14985;28;53
02;0219;Bærum;76334;63790;63514;64;214
02;0220;Asker;37066;30760;30663;19;80
02;0221;Aurskog-Høland;10662;8114;8063;3;51
02;0226;Sørum;10689;8627;8605;8;47
02;0227;Fet;7373;5951;5927;1;25
02;0228;Rælingen;11341;8711;8672;2;43
02;0229;Enebakk;7263;5601;5577;10;26
02;0230;Lørenskog;23142;18217;18116;18;87
02;0231;Skedsmo;33671;26184;26066;3;98
02;0233;Nittedal;14551;11813;11754;10;50
02;0234;Gjerdrum;3916;3161;3148;0;13
02;0235;Ullensaker;20030;15262;15187;8;80
02;0236;Nes;13926;10483;10430;3;53
02;0237;Eidsvoll;15146;11265;11211;12;67
02;0238;Nannestad;7710;5910;5832;21;58
02;0239;Hurdal;1996;1485;1473;1;10
03;0301;Oslo;416168;324256;323116;132;1102
04;0402;Kongsvinger;13378;9670;9603;2;61
04;0403;Hamar;21916;17251;17136;22;94
04;0412;Ringsaker;24535;17510;17397;4;111
04;0415;Løten;5646;4169;4122;1;47
04;0417;Stange;14516;11254;11196;8;49
04;0418;Nord-Odal;4039;3016;2998;0;17
04;0419;Sør-Odal;6075;4558;4531;0;28
04;0420;Eidskog;4988;3460;3441;1;23
04;0423;Grue;4052;2828;2810;0;14
04;0425;Åsnes;6092;4248;4227;2;19
04;0426;Våler;3127;2267;2248;0;19
04;0427;Elverum;15022;11054;10973;1;59
04;0428;Trysil;5229;3736;3706;4;25
04;0429;Åmot;3279;2347;2328;2;18
04;0430;Stor-Elvdal;2104;1592;1583;0;9
04;0432;Rendalen;1614;1297;1283;0;4
04;0434;Engerdal;1079;832;829;0;3
04;0436;Tolga;1242;999;994;0;5
04;0437;Tynset;4055;3069;3059;5;9
04;0438;Alvdal;1832;1308;1304;1;4
04;0439;Folldal;1307;1055;1048;0;7
04;0441;Os;1522;1159;1150;3;6
05;0501;Lillehammer;19821;15152;15094;14;44
05;0502;Gjøvik;21813;16271;16197;24;50
05;0511;Dovre;2177;1546;1542;0;4
05;0512;Lesja;1657;1250;1232;11;7
05;0513;Skjåk;1791;1303;1291;0;12
05;0514;Lom;1885;1304;1287;1;16
05;0515;Vågå;2888;2124;2116;3;5
05;0516;Nord-Fron;4521;3241;3227;3;11
05;0517;Sel;4679;3299;3288;1;10
05;0519;Sør-Fron;2481;1792;1782;0;10
05;0520;Ringebu;3427;2420;2403;6;11
05;0521;Øyer;3672;2670;2656;0;14
05;0522;Gausdal;4740;3359;3346;1;12
05;0528;Østre Toten;11148;8354;8300;13;41
