Partiforkortelse,Parti
A,Det norske Arbeiderparti
SV,Sosialistisk Venstreparti
RV,Rødt
SP,Senterpartiet
KRF,Kristelig Folkeparti
V,Venstre
H,Høyre
FRP,Fremskrittspartiet
DEM,Demokratene
DLF,Det Liberale Folkepartiet
KSP,Kristent Samlingsparti
KYST,Kystpartiet
MDG,Miljøpartiet De Grønne
NKP,Norges Kommunistiske Parti
PP,Pensjonistpartiet
SFP,Samfunnspartiet
TPF,Tverrpolitisk Folkevalgte
ABORT,Abortmotstanderne
ES,Ett (skrift)språk
NPAT,NorgesPatriotene
NRA,Norsk Republikansk Allianse
SALL,Sentrumsalliansen
SAMT,Samtidspartiet
VIGRID,Vigrid
